"","year","haul_number","stratum","area","Indicator","month","day","vessel","strata","meandepth","hauling_time","ptot","Lat","Lon","sqkm","W_sqkm","doy","hour"
"189",1997,15,"A",17,165,6,4,"PRI","A",38,412,450,44.6026666666667,13.0808333333333,0.041680220253,10.7964880528099,155,4
"190",1997,15,"C",18,185,8,7,"PEC","C",106.5,1230,376,41.3291666666667,19.1358333333333,0.0461148,8.15356458230329,219,12
"191",1997,16,"A",17,185,6,4,"PRI","A",38,508,220,44.6075,13.1598333333333,0.03376101477,6.51639180571941,155,5
"192",1997,17,"A",17,195,6,4,"PRI","A",45,716,1300,44.5048333333333,13.5111666666667,0.04484863793016,28.986387547029,155,7
"193",1997,18,"B",17,200,6,4,"PRI","B",62,948,220,44.2125,13.7203333333333,0.0413317754892,5.32278125960222,155,9
"194",1997,18,"C",18,195,7,24,"PEC","C",174.5,1045,94,40.7276666666667,19.0815,0.044081,2.13243801184184,205,10
"195",1997,19,"C",18,205,7,24,"PEC","C",163.5,1225,487,40.6341666666667,19.1458333333333,0.044081,11.0478437422019,205,12
"196",1997,20,"B",17,140,6,4,"PRI","B",61,1247,200,44.1048333333333,13.4096666666667,0.0409565475468,4.88322409918622,155,12
"197",1997,21,"A",17,175,6,4,"PRI","A",48,1448,400,44.1813333333333,13.0621666666667,0.055395113166,7.22085355799054,155,14
"198",1997,21,"C",18,170,7,24,"PEC","C",171.5,1540,132,40.6913333333333,19.1058333333333,0.044081,2.99448742088428,205,15
"199",1997,22,"C",18,185,7,24,"PEC","C",168.5,1645,156,40.6558333333333,19.1271666666667,0.0438217,3.55988015070159,205,16
"200",1997,23,"C",18,185,7,24,"PEC","C",156,1750,177,40.6103333333333,19.1611666666667,0.0438217,4.03909478637296,205,17
"201",1997,24,"A",17,110,6,5,"PRI","A",18.5,515,20,43.6868333333333,13.5576666666667,0.0432341290409,0.462597499791883,156,5
"202",1997,25,"B",17,130,6,5,"PRI","B",63,718,10,43.9326666666667,13.5183333333333,0.0399665947176,0.250208957522126,156,7
"203",1997,27,"B",17,130,6,5,"PRI","B",68,1041,40,43.9973333333333,13.9813333333333,0.0405368255376,0.986757089868765,156,10
"204",1997,28,"B",17,175,6,5,"PRI","B",64.5,1235,4700,44.1683333333333,13.9983333333333,0.05397215435892,87.0819417128423,156,12
