"year","area","haul_number","source"
1995,18,95,"no_few"
1996,18,12,"no_few"
1996,18,123,"no_few"
1996,18,13,"no_few"
1996,18,16,"no_few"
1996,18,18,"no_few"
1996,18,19,"no_few"
1996,18,20,"no_few"
1996,18,21,"no_few"
1996,18,22,"no_few"
1996,18,23,"no_few"
1996,18,5,"no_few"
1996,18,6,"no_few"
1996,18,8,"no_few"
1996,18,80,"no_few"
1996,18,95,"no_few"
1997,18,1,"no_few"
1997,18,12,"no_few"
1997,18,14,"no_few"
1997,18,18,"no_few"
1997,18,19,"no_few"
1997,18,2,"no_few"
1997,18,21,"no_few"
1997,18,22,"no_few"
1997,18,23,"no_few"
1997,18,5,"no_few"
1997,18,76,"no_few"
1997,18,8,"no_few"
1997,18,88,"no_few"
1997,18,93,"no_few"
1998,18,1,"no_few"
1998,18,101,"no_few"
1998,18,13,"no_few"
1998,18,14,"no_few"
1998,18,17,"no_few"
1998,18,2,"no_few"
1998,18,4,"no_few"
1998,18,5,"no_few"
1998,18,89,"no_few"
1998,18,93,"no_few"
1999,18,11,"no_few"
1999,18,115,"no_few"
1999,18,117,"no_few"
1999,18,12,"no_few"
1999,18,123,"no_few"
1999,18,125,"no_few"
1999,18,129,"no_few"
1999,18,13,"no_few"
1999,18,133,"no_few"
1999,18,134,"no_few"
1999,18,135,"no_few"
1999,18,16,"no_few"
1999,18,17,"no_few"
1999,18,18,"no_few"
1999,18,22,"no_few"
1999,18,23,"no_few"
1999,18,3,"no_few"
1999,18,5,"no_few"
1999,18,75,"no_few"
1999,18,76,"no_few"
1999,18,79,"no_few"
1999,18,8,"no_few"
1999,18,83,"no_few"
1999,18,84,"no_few"
1999,18,88,"no_few"
1999,18,89,"no_few"
1999,18,93,"no_few"
2000,18,109,"no_few"
2000,18,117,"no_few"
2000,18,124,"no_few"
2000,18,126,"no_few"
2000,18,129,"no_few"
2000,18,135,"no_few"
2000,18,136,"no_few"
2000,18,137,"no_few"
2000,18,2,"no_few"
2000,18,3,"no_few"
2000,18,5,"no_few"
2000,18,6,"no_few"
2000,18,75,"no_few"
2000,18,76,"no_few"
2000,18,79,"no_few"
2000,18,83,"no_few"
2000,18,89,"no_few"
