"","year","haul_number","stratum","Val_haul"
"766",2014,107,"C",100
"767",2014,110,"C",105
"768",2014,131,"C",130
"769",2014,132,"C",110
"770",2014,133,"C",110
"771",2014,134,"B",45
"772",2014,137,"C",110
"773",2014,138,"C",90
"774",2014,142,"D",105
"775",2014,145,"D",100
"776",2014,146,"C",80
"777",2014,147,"C",85
"778",2014,148,"C",90
"779",2014,150,"C",90
"780",2014,151,"D",120
"781",2014,154,"B",60
"782",2014,158,"C",125
"783",2014,160,"B",40
"784",2014,161,"C",105
"785",2014,162,"C",100
"786",2014,165,"C",50
"787",2014,167,"D",90
"788",2014,172,"C",30
"789",2014,174,"D",95
"790",2014,176,"C",30
"791",2014,177,"D",85
"792",2014,179,"C",60
"793",2015,26,"D",100
"794",2015,77,"D",125
"795",2015,84,"C",100
"796",2015,85,"D",100
"797",2015,88,"B",130
"798",2015,93,"C",95
"799",2015,95,"C",100
"800",2015,97,"C",105
"801",2015,104,"B",120
"802",2015,107,"C",100
"803",2015,110,"C",100
"804",2015,126,"B",115
"805",2015,131,"C",110
"806",2015,132,"C",95
"807",2015,133,"C",75
"808",2015,134,"B",120
"809",2015,138,"C",110
"810",2015,139,"D",100
"811",2015,143,"E",70
"812",2015,145,"D",110
"813",2015,147,"C",70
"814",2015,148,"C",125
"815",2015,150,"C",100
"816",2015,151,"D",95
"817",2015,157,"C",95
"818",2015,158,"C",85
"819",2015,161,"C",90
"820",2015,162,"C",95
"821",2016,10,"B",50
"822",2016,17,"C",30
"823",2016,23,"C",95
"824",2016,26,"D",90
"825",2016,76,"B",60
"826",2016,77,"D",130
"827",2016,83,"C",40
"828",2016,84,"C",115
"829",2016,93,"C",125
"830",2016,95,"C",115
"831",2016,97,"C",45
"832",2016,104,"B",50
"833",2016,107,"C",115
"834",2016,126,"B",25
"835",2016,129,"B",45
"836",2016,131,"C",45
"837",2016,132,"C",40
"838",2016,133,"C",100
"839",2016,134,"B",50
"840",2016,137,"C",40
"841",2016,139,"D",105
"842",2016,146,"C",40
"843",2016,150,"C",85
"844",2016,151,"D",135
"845",2016,154,"B",55
"846",2016,157,"C",50
"847",2016,158,"C",125
"848",2016,162,"C",100
"849",2016,163,"B",90
"850",2016,166,"C",40
"851",2016,167,"D",90
"852",2016,168,"D",85
"853",2016,173,"C",95
"854",2016,174,"D",110
"855",2016,176,"C",95
"856",2016,177,"D",105
"857",2016,179,"C",85
"858",2017,83,"C",50
"859",2017,93,"C",55
"860",2017,95,"C",55
"861",2017,100,"A",50
"862",2017,104,"B",50
"863",2017,110,"C",45
"864",2017,129,"B",60
"865",2017,132,"C",65
"866",2017,133,"C",65
"867",2017,134,"B",75
"868",2017,137,"C",45
"869",2017,146,"C",45
"870",2017,148,"C",45
"871",2017,150,"C",55
"872",2017,151,"D",55
"873",2017,157,"C",50
"874",2017,176,"C",50
"875",2017,179,"C",50
